slug,keywords_total,answered,partial,absent,absent_volume_sum,top_absent_keyword
not-trusting-my-own-memory,0,0,0,0,0,
the-explanation-i-give-myself,0,0,0,0,0,
cant-stop-thinking-about-someone,0,0,0,0,0,
avoidant-attachment,0,0,0,0,0,
coming-on-too-strong,0,0,0,0,0,
doomscrolling,0,0,0,0,0,
daydreaming,0,0,0,0,0,
relationships-that-never-become-relationships,0,0,0,0,0,
anxious-attachment-style,0,0,0,0,0,
falling-for-the-idea-of-a-person,0,0,0,0,0,
the-lesser-person-in-the-room,0,0,0,0,0,
breadcrumbing,0,0,0,0,0,
everyone-else-is-a-supporting-character,0,0,0,0,0,
the-one-my-family-blames,0,0,0,0,0,
emotionally-unavailable,0,0,0,0,0,
thinking-about-my-partners-past,0,0,0,0,0,
warmest-to-the-people-i-like-least,0,0,0,0,0,
cynicism,0,0,0,0,0,
how-i-end-up-apologizing,0,0,0,0,0,
how-to-set-boundaries,0,0,0,0,0,
