phrase,volume,difficulty,cpc,parent_topic,global_volume
doing everything yourself,10,,,,10
harsh self criticism,10,1,,harsh self criticism,30
compulsive overworking,10,,,,10
decision paralysis,8800,0,0.08,decision paralysis,14000
productive procrastination,700,0,0.20,productive procrastination,1500
fear of publishing,0,,0,,0
lack of accountability,900,0,0.05,no accountability meaning,2200
perfectionism paralysis,70,1,,perfectionism paralysis,250
not finishing projects,0,,,,0
fear of judgment,150,4,0.30,fear of judgment,300
impossible personal standards,,,,,
undercharging for work,,,,,
chasing unpaid invoices,30,,,,150
not asking for help,90,2,,not asking for help,150
people pleasing,6100,19,0.04,people pleasing,19000
networking avoidance,,,,,
not following up,0,,,,0
late night working,40,0,,late night work,150
fragmented sleep,1000,35,1.60,fragmented sleep,2500
wasted mornings,,,,,
guilt about resting,,,,,
working on weekends,30,0,0.15,working weekends,150
comparing yourself to others,600,62,0.03,how to stop comparing yourself to others,1300
loss of direction,20,1,,i have no purpose or direction in life,50
learning addiction,10,1,1.80,how to get addicted to studying,10
endless preparation,,,,,
postponing a decision,,,,,
expecting the worst,80,0,0.25,expecting the worst,200
losing touch with people,0,,,,0
email avoidance,10,,,,10
phone distraction,200,27,0.20,phone distraction,450
