phrase,volume,difficulty,cpc,parent_topic,global_volume
explaining what you do,0,,0,,0
loss of identity,700,8,0.45,loss of identity,1500
growing up too fast,600,0,0.2,growing up too fast,1000
impostor syndrome,10000,35,0.07,imposter syndrome,52000
inner child work,4000,0,,inner child work,5700
teenage crisis,60,30,,teen mental health crisis,200
lack of self discipline,50,1,,lack of discipline,150
lack of guidance,30,,,,1200
limiting beliefs,3300,10,0.15,what are self limiting beliefs,5400
partner refuses to change,,,,
need for certainty,20,,,,30
need for significance,30,0,,need for significance,50
working without stopping,,,,
over explaining,400,1,0.5,overexplaining,800
putting off easy tasks,,,,
reading into messages,,,,
seeking constant reassurance,10,,,,10
self neglect,700,16,0.04,self neglect,2000
shame vs guilt,3200,0,0.1,shame,3800
no contact with a parent,10,,,,10
leaving a relationship,150,6,0.03,should i leave my relationship,300
six human needs,100,1,2.5,6 human needs,350
starting over from scratch,10,0,0.25,how to start over in life,10
undercharging clients,,,,
double texting,2200,7,0.02,double texting,5400
unprocessed grief,150,7,,depression symptoms,250
unresolved father issues,0,,,,0
victim mentality,13000,6,0.02,victim mentality,18000
waiting to be noticed,0,,,,0
meaning of masculinity,10,,0.06,,70
earliest memory meaning,10,3,,what age do you start remembering things,10
purpose in life,2200,12,0.1,what is my purpose in life,4500
forgetting how to have fun,0,,0,,0
betrayal by someone close,,,,
fear of vulnerability,600,0,0.15,fear of vulnerability,1200
fear of taking risks,10,,,,20
caring more than your partner,,,,
jealousy in relationships,900,0,0.03,how to handle relationship jealousy,1700
feeling miserable,200,31,2.5,depression symptoms,500
surface level friendships,10,0,,superficial friendship meaning,10
accepting compliments,30,0,0.04,how to accept compliments,40
asking for help,3800,6,1.9,why is asking for help so hard,5800
asking for what you need,20,0,,how to ask for what you need,20
inability to change,10,,,,20
inability to focus,250,43,1.1,what causes poor concentration,350
naming your feelings,10,,,,20
speaking up,500,0,4.5,speaking up,1200
obsessing over an affair,,,,
replaying the past,0,,,,0
trouble trusting people,10,,,,10
acting out of character,60,0,,acting out of character,100
giving up on your dreams,100,1,,should i give up on my dreams,150
calm people turning aggressive,,,,
people who irritate you,0,,,,0
absorbing other peoples emotions,0,,0,,0
avoiding problems,60,24,0.4,avoidance,100
blaming yourself for everything,50,0,,why do i blame myself for everything,100
emotional eating,5500,56,0.04,bright line eating,11000
survivor guilt,1800,22,0.3,survivors guilt,4600
feeling guilty when resting,0,,,,0
feeling like a burden,500,2,1,signs of depression,900
feeling like an outsider,150,1,0.04,feeling like an outsider,350
losing your femininity,,,,
feeling lonely around people,20,,,,40
feeling not good enough,250,2,0.3,depression symptoms,600
feeling overwhelmed,4100,0,0.09,feeling overwhelmed,8300
feeling trapped,700,26,0.7,depression,1200
feeling unattractive,70,0,,i feel unattractive,150
feeling unworthy of love,90,0,0.08,why do i feel unworthy of love,150
feeling worse after quitting,,,,
upset when plans change,0,,,,10
same fight every relationship,,,,
needing validation,70,0,,external validation,100
overreacting to small things,20,0,,why do i overreact to small things,30
shutting down in an argument,10,,,,20
self pity and rage,0,,0,,0
taking criticism personally,20,,,,30
testing people who love you,,,,
recurring arguments,0,,,,0
wrecking a good life,,,,
beating yourself up,100,0,0.15,self harm,300
advertising and insecurity,0,,0,,0
inner conflict,1300,5,0.5,internal conflict meaning,2600
motivation running out,,,,
child copying your behavior,,,,
dead marriage,100,0,0.02,dead marriage,300
mismatched desire in relationships,,,,
partner not feeling loved,,,,
not trusting yourself,40,1,,how to trust yourself,50
difficult mother relationship,0,,0,,0
nothing is ever enough,30,0,,nothing i do is ever good enough,50
ayahuasca in peru,200,56,0.7,ayahuasca retreat peru,350
being disciplined,200,11,0.3,how to build discipline,400
being grateful,900,54,0.25,with gratitude,2000
being happy,1300,19,0.2,how to feel better,2600
being yourself,600,0,0.1,being yourself,1300
building a habit,50,48,0.7,build habits,100
changing your life,80,2,0.3,how to change your life,200
feeling your emotions,20,0,,how to feel your feelings,30
finding inner peace,400,7,0.3,what is inner peace,800
letting go,6200,0,0.3,letting go,18000
making a decision,500,68,0.07,decision making process,1000
learning to meditate,200,62,0.7,how to start meditating,300
stop caring what people think,250,1,0.3,how to not care what people think,400
stop comparing yourself to others,350,19,0.1,how to stop comparing yourself to others,1100
stop negative self talk,60,24,0.06,how to stop negative self talk,90
trusting your intuition,100,4,0.04,trust your gut,150
inner work and leadership,,,,
putting yourself first,200,1,0.15,putting yourself first,400
martial arts philosophy,20,,,,60
awareness training,500,47,6,security awareness training,2700
