slug,url,domain,person_or_source,type,detail
anxious-attachment-style,https://health.clevelandclinic.org/anxious-attachment-style,health.clevelandclinic.org,Cleveland Clinic,reviewer,JSON-LD author
avoidant-attachment,https://www.webmd.com/parenting/what-is-avoidant-attachment,webmd.com,Hallie Levine,reviewer,JSON-LD author
avoidant-attachment,https://www.webmd.com/parenting/what-is-avoidant-attachment,webmd.com,WebMD Editorial Contributor,expert,JSON-LD author
avoidant-attachment,https://www.webmd.com/parenting/what-is-avoidant-attachment,webmd.com,"Jabeen Begum, MD",expert,JSON-LD reviewedBy
betrayal-trauma,https://www.verywellmind.com/betrayal-trauma-causes-symptoms-impact-and-coping-5270361,verywellmind.com,Sanjana Gupta,reviewer,JSON-LD author
betrayal-trauma,https://www.healthline.com/health/mental-health/betrayal-trauma,healthline.com,Crystal Raypole,reviewer,JSON-LD author
black-and-white-thinking,https://www.verywellmind.com/all-or-nothing-thinking-2584173,verywellmind.com,"Katharina Star, PhD",expert,JSON-LD author
childhood-emotional-neglect,https://www.medicalnewstoday.com/articles/childhood-emotional-neglect,medicalnewstoday.com,Hana Ames,reviewer,JSON-LD author
controlling-parents,https://www.bbc.com/news/education-34140965,bbc.com,Hannah Richardson,reviewer,JSON-LD author
emotional-exhaustion,https://health.clevelandclinic.org/why-you-wake-up-tired-after-8-hours-of-sleep,health.clevelandclinic.org,Cleveland Clinic,reviewer,JSON-LD author
emotional-home,https://www.bbc.com/future/article/20250226-the-expert-guide-to-taking-control-of-your-emotions,bbc.com,David Robson,reviewer,JSON-LD author
emotional-invalidation,https://psychcentral.com/health/reasons-you-and-others-invalidate-your-emotional-experience,psychcentral.com,Brittany Carrico,reviewer,JSON-LD author
emotional-manipulation,https://www.healthline.com/health/mental-health/emotional-manipulation,healthline.com,Kimberly Holland,reviewer,JSON-LD author
emotional-numbness,https://health.clevelandclinic.org/why-you-feel-emotionally-numb,health.clevelandclinic.org,Cleveland Clinic,reviewer,JSON-LD author
emotional-numbness,https://www.healthline.com/health/mental-health/emotional-blunting,healthline.com,Erica Cirino,reviewer,JSON-LD author
emotionally-unavailable,https://www.healthline.com/health/emotionally-unavailable,healthline.com,Crystal Raypole,reviewer,JSON-LD author
enmeshed-family,https://www.healthline.com/health/enmeshed-family,healthline.com,Rhona Lewis,reviewer,JSON-LD author
enmeshed-family,https://psychcentral.com/blog/imperfect/2019/05/the-enmeshed-family-system-what-it-is-and-how-to-break-free,psychcentral.com,"Sharon Martin, LCSW",expert,JSON-LD author
fawn-response,https://psychcentral.com/health/fawn-response,psychcentral.com,Gina Ryder,reviewer,JSON-LD author
fear-of-abandonment,https://www.verywellmind.com/fear-of-abandonment-2671741,verywellmind.com,Lisa Fritscher,reviewer,JSON-LD author
fear-of-abandonment,https://psychcentral.com/health/abandonment-trauma,psychcentral.com,Kathryn Watson,reviewer,JSON-LD author
fear-of-intimacy,https://www.verywellmind.com/fear-of-intimacy-2671818,verywellmind.com,Lisa Fritscher,reviewer,JSON-LD author
