slug,url,domain,faq_count,faq_questions_pipe_separated,h2_count,word_count,has_schema
anxious-attachment-style,https://health.clevelandclinic.org/anxious-attachment-style,health.clevelandclinic.org,0,,8,1500,false
anxious-attachment-style,https://www.simplypsychology.org/anxious-attachment-style.html,simplypsychology.org,0,,8,1500,false
avoidant-attachment,https://www.webmd.com/parenting/what-is-avoidant-attachment,webmd.com,0,,8,1500,true
avoidant-attachment,https://www.attachmentproject.com/blog/avoidant-attachment-style/,attachmentproject.com,0,,8,1500,false
betrayal-trauma,https://www.verywellmind.com/betrayal-trauma-causes-symptoms-impact-and-coping-5270361,verywellmind.com,33,,8,1500,true
betrayal-trauma,https://www.healthline.com/health/mental-health/betrayal-trauma,healthline.com,33,,8,1500,true
black-and-white-thinking,https://www.verywellmind.com/all-or-nothing-thinking-2584173,verywellmind.com,34,,8,1500,true
black-and-white-thinking,https://www.health.harvard.edu/blog/how-to-recognize-and-tame-your-cognitive-distortions-202205042738,health.harvard.edu,34,,8,1500,false
childhood-emotional-neglect,https://www.medicalnewstoday.com/articles/childhood-emotional-neglect,medicalnewstoday.com,0,,8,1500,false
childhood-emotional-neglect,https://drjonicewebb.com/about-emotional-neglect/,drjonicewebb.com,0,,8,1500,false
controlling-parents,https://www.bbc.com/news/education-34140965,bbc.com,0,,8,1500,false
controlling-parents,https://www.psychologytoday.com/gb/blog/therapy-insider/202208/the-psychology-of-adults-who-are-controlled-by-a-parent,psychologytoday.com,0,,8,1500,true
emotional-exhaustion,https://health.clevelandclinic.org/why-you-wake-up-tired-after-8-hours-of-sleep,health.clevelandclinic.org,0,,8,1500,false
emotional-exhaustion,https://medresearch.umich.edu/research-news/what-do-if-you-wake-tired-every-day,medresearch.umich.edu,0,,8,1500,false
emotional-home,https://www.bbc.com/future/article/20250226-the-expert-guide-to-taking-control-of-your-emotions,bbc.com,34,,8,1500,false
emotional-home,https://theconversation.com/you-can-change-your-emotions-but-its-a-2-step-process-that-takes-some-effort-280000,theconversation.com,34,,8,1500,false
